osmid,y,x,street_count,highway,ref,railway,geometry
65303063,37.7149164,-122.4729286,3,,,,POINT (-122.4729286 37.7149164)
65303428,37.7086713,-122.4666108,3,,,,POINT (-122.4666108 37.7086713)
65304983,37.7309453,-122.4905318,3,,,,POINT (-122.4905318 37.7309453)
65305723,37.7129202,-122.4679983,1,turning_circle,,,POINT (-122.4679983 37.7129202)
65305725,37.7142714,-122.4680132,4,,,,POINT (-122.4680132 37.7142714)
65305727,37.7161089,-122.468022,4,stop,,,POINT (-122.468022 37.7161089)
65305729,37.717896,-122.468042,4,stop,,,POINT (-122.468042 37.717896)
65305916,37.7216468,-122.4717273,4,,,,POINT (-122.4717273 37.7216468)
65305922,37.7237202,-122.471311,4,stop,,,POINT (-122.471311 37.7237202)
65305937,37.7301112,-122.4721937,5,,,,POINT (-122.4721937 37.7301112)
65305941,37.7301261,-122.4726793,3,,,,POINT (-122.4726793 37.7301261)
65305947,37.7306716,-122.473345,3,,,,POINT (-122.473345 37.7306716)
65305959,37.7304974,-122.474776,3,traffic_signals,,,POINT (-122.474776 37.7304974)
65306402,37.7286528,-122.4732123,3,,,,POINT (-122.4732123 37.7286528)
65306421,37.7268641,-122.4733403,4,,,,POINT (-122.4733403 37.7268641)
65306426,37.7253846,-122.4733277,3,,,,POINT (-122.4733277 37.7253846)
65306600,37.7426307,-122.4853511,4,,,,POINT (-122.4853511 37.7426307)
65306602,37.7407648,-122.4852203,4,,,,POINT (-122.4852203 37.7407648)
65306604,37.738904,-122.4850899,4,,,,POINT (-122.4850899 37.738904)
65307202,37.746171,-122.4899001,4,,,,POINT (-122.4899001 37.746171)
65307205,37.7424416,-122.4896417,4,,,,POINT (-122.4896417 37.7424416)
65307208,37.7405756,-122.489508,4,,,,POINT (-122.489508 37.7405756)
65307543,37.7200684,-122.4759141,3,,,,POINT (-122.4759141 37.7200684)
65307545,37.7200812,-122.477079,4,,,,POINT (-122.477079 37.7200812)
65307547,37.7201214,-122.4780557,3,,,,POINT (-122.4780557 37.7201214)
65307550,37.7201344,-122.4790142,3,,,,POINT (-122.4790142 37.7201344)
65307563,37.7190564,-122.4814292,3,,,,POINT (-122.4814292 37.7190564)
65307567,37.7191094,-122.4830894,3,,,,POINT (-122.4830894 37.7191094)
65308198,37.708672,-122.4692916,4,,,,POINT (-122.4692916 37.708672)
65309568,37.7324757,-122.4810108,4,stop,,,POINT (-122.4810108 37.7324757)
65309583,37.742772,-122.4821422,4,,,,POINT (-122.4821422 37.742772)
65309586,37.7409064,-122.4820109,4,,,,POINT (-122.4820109 37.7409064)
65309588,37.7390442,-122.4818799,4,,,,POINT (-122.4818799 37.7390442)
65309770,37.745509,-122.5048994,4,stop,,,POINT (-122.5048994 37.745509)
65309772,37.741781,-122.504638,5,stop,,,POINT (-122.504638 37.741781)
65309774,37.7399137,-122.5045074,4,stop,,,POINT (-122.5045074 37.7399137)
65309776,37.7380507,-122.5043749,4,stop,,,POINT (-122.5043749 37.7380507)
65309778,37.7355616,-122.5042025,3,,,,POINT (-122.5042025 37.7355616)
65309852,37.7349479,-122.4662722,4,,,,POINT (-122.4662722 37.7349479)
65309863,37.7346623,-122.4710917,3,,,,POINT (-122.4710917 37.7346623)
65309866,37.7347564,-122.4705135,3,,,,POINT (-122.4705135 37.7347564)
65310657,37.7461237,-122.4909703,4,,,,POINT (-122.4909703 37.7461237)
65310660,37.7460291,-122.4931142,4,,,,POINT (-122.4931142 37.7460291)
65310662,37.7459819,-122.4941856,4,,,,POINT (-122.4941856 37.7459819)
65310665,37.7458873,-122.4963289,3,,,,POINT (-122.4963289 37.7458873)
65310667,37.74584,-122.4974003,4,stop,,,POINT (-122.4974003 37.74584)
65310670,37.7457928,-122.4984705,4,stop,,,POINT (-122.4984705 37.7457928)
65310673,37.7457455,-122.4995412,4,stop,,,POINT (-122.4995412 37.7457455)
65310675,37.7456982,-122.5006127,4,,,,POINT (-122.5006127 37.7456982)
65310678,37.7456036,-122.5027573,4,stop,,,POINT (-122.5027573 37.7456036)
65310680,37.7455563,-122.5038296,4,,,,POINT (-122.5038296 37.7455563)
65310684,37.7454617,-122.505971,4,,,,POINT (-122.505971 37.7454617)
65310688,37.7454145,-122.5070421,4,,,,POINT (-122.5070421 37.7454145)
65310690,37.7453959,-122.5074634,3,stop,,,POINT (-122.5074634 37.7453959)
65310872,37.7336171,-122.4717982,3,,,,POINT (-122.4717982 37.7336171)
65310877,37.7338638,-122.472021,3,,,,POINT (-122.472021 37.7338638)
65310894,37.7316733,-122.4732184,3,,,,POINT (-122.4732184 37.7316733)
65311274,37.71068,-122.4693156,5,stop,,,POINT (-122.4693156 37.71068)
65311377,37.7099337,-122.470432,3,,,,POINT (-122.470432 37.7099337)
