osmid,y,x,street_count,highway,ref,railway,geometry
12513667880,37.7567229,-122.4542019,3,,,,POINT (-122.4542019 37.7567229)
12513730815,37.7569549,-122.4544519,3,,,,POINT (-122.4544519 37.7569549)
12591637642,37.746739,-122.4148963,1,,,,POINT (-122.4148963 37.746739)
12694690720,37.8169214,-122.3694732,1,,,,POINT (-122.3694732 37.8169214)
12694690788,37.809899,-122.3660918,1,turning_circle,,,POINT (-122.3660918 37.809899)
12717144900,37.7205544,-122.4811083,3,,,,POINT (-122.4811083 37.7205544)
12809540184,37.7657199,-122.4219846,3,,,,POINT (-122.4219846 37.7657199)
12809540186,37.7625695,-122.4216802,3,,,,POINT (-122.4216802 37.7625695)
12809540188,37.756101,-122.4210493,3,,,,POINT (-122.4210493 37.756101)
12809540189,37.7577009,-122.4212058,3,,,,POINT (-122.4212058 37.7577009)
12876010125,37.7803232,-122.4717702,2,,,,POINT (-122.4717702 37.7803232)
12927618186,37.724093,-122.4757599,1,,,,POINT (-122.4757599 37.724093)
12952646361,37.8002266,-122.4468309,3,,,,POINT (-122.4468309 37.8002266)
12952646366,37.8004476,-122.4467382,3,,,,POINT (-122.4467382 37.8004476)
13018138432,37.7712738,-122.4240745,3,,,,POINT (-122.4240745 37.7712738)
13036734815,37.7718164,-122.420336,3,,,,POINT (-122.420336 37.7718164)
13036734821,37.7716463,-122.4217657,3,,,,POINT (-122.4217657 37.7716463)
13036886711,37.7709012,-122.4182349,1,,,,POINT (-122.4182349 37.7709012)
