u,v
65316115,258757446
65316115,65316123
65316115,65353311
65316123,258757447
65316123,65340947
65316123,65287762
65316139,258922097
65316139,65351722
65316146,258757451
65316146,65342056
65316146,65316155
65316155,258757450
65316155,6919426532
65316155,65316172
65316172,432780750
65316301,65329238
65316301,258757484
65316314,1201390929
65316336,263990898
65316336,65316342
65316336,65330304
65316342,65350687
65316342,65316336
65316342,65330300
65316342,65349389
65316342,65330304
65316798,347808294
65316798,65316829
65316801,612715733
65316801,65316798
65316806,612716525
65316806,65316801
65316813,65316806
65316818,65307547
65316818,65302968
65316820,65316818
65316821,65359394
65316821,65316820
65316823,65291695
65316823,65316821
65316826,65316823
65316829,65303024
65316829,65316826
65316976,1607089658
65316976,65297427
65317020,65308198
65317270,258922103
65317270,469713214
65317279,4047651063
65317279,65293718
65317279,4047651057
65317286,4047651029
65317286,65296591
65317286,65293718
65317294,1196702052
65317294,65360755
65317294,65317305
65317305,65329277
65317305,65317312
65317305,65317294
65317312,65299643
65317312,4045528488
65317312,65317305
65318451,65318455
65318451,65348256
65318451,65356368
65318455,65305922
65318455,65318451
65318455,1607089626
65318460,65305922
65318460,65318464
65318460,65302643
65318464,65318460
65318464,65302641
65318544,65328478
65318544,65306600
65318544,65318546
65318544,65295150
65318546,65306602
65318546,65328485
65318546,65318549
65318546,65318544
65318549,65306604
65318549,65318546
65318549,65328488
65319467,318256096
65319467,65319491
65319467,65342101
65319467,258916794
65319491,65342101
65319491,65319467
65319491,65319493
65319493,258914478
65319493,65319504
65319493,65362333
65319493,65319491
65319504,65319493
65319504,65319506
65319504,65362323
65319506,65319504
65319506,258914480
65319506,65348521
65319692,1711226132
65319692,65319707
65319692,65301316
65319692,65301316
65319707,65319692
65319707,65326392
65319707,65302650
65319707,65326371
65319828,12195577833
65319828,2287779381
65319846,12195577870
65319846,12195577833
65319846,65329597
65319846,65370637
65319849,12195577870
65319849,65329600
65319849,65319853
65319849,65353310
65319853,65329602
65319853,4044866160
65319853,65319849
65319853,65340935
65320136,65307205
65320136,65328478
65320136,65320139
65320136,65295156
65320139,65307208
65320139,65328485
65320139,4045528604
65320139,65320136
65320154,65287831
65320154,4045528604
65320234,6397710142
65320234,65295223
65320239,65320241
65320239,65322163
65320239,4034123036
65320241,4034544343
65320241,65320239
65320241,12116305046
65320244,65287905
65320244,258924396
65320327,4069109616
65320327,65353692
65320652,65320655
65320652,65353235
65320652,65311274
65320655,65284849
65320655,65320652
65321779,65329990
65321779,65321791
65321779,65358686
65321791,65329996
65321791,258757616
65321796,65281401
65321796,65321802
65321802,65321805
65321802,65358701
65321805,65358739
65322025,65326392
65322025,1711226132
65322025,65312142
65322161,65322163
65322161,65295214
65322161,65309772
65322161,4034176446
65322163,12116305046
65322163,65322161
65322163,65320239
65322163,65309774
65322168,1707842829
65322168,65320244
65322168,65287902
65322468,4062846085
65322468,4062847040
65322468,65299193
65322468,65309568
65322480,65322482
65322480,65295139
65322480,65293135
65322480,65309583
65322482,999546390
65322482,65293138
65322482,65322480
65322482,65309586
65324074,65324083
65324074,65315071
65324074,65360368
65324074,65291604
65324083,65342015
65324083,65324074
65324083,1366462491
65325172,65325177
65325172,65352591
65325177,65325172
65326371,65326383
65326371,65319707
65326383,65326405
65326383,65326371
65326392,65319707
65326392,1777583588
65326392,65372177
65326392,65322025
65326405,65302665
65326405,65342015
65326405,65326422
65326405,65326383
65326422,65326424
65326422,65326405
65326424,65326422
65326424,3999514601
65327417,388004321
65327955,65287725
65327955,1707875210
65328478,65320136
65328478,65318544
65328478,65328485
65328478,65295153
65328485,65320139
65328485,65318546
65328485,65328488
65328485,65328478
65328488,4045528604
65328488,65318549
65328488,65328500
65328488,65328485
65328500,65320154
65328500,65287805
65328500,65328488
65329159,761807528
65329159,65316172
65329159,761766172
65329238,65316301
65329238,261499008
65329238,2456996785
65329277,4062468476
65329277,65317305
65329277,4047651034
